Date;temp1;hum1;dew1;temp2;hum2;dew2
"2018-02-02T17:48:29+01:00";23.1;30.2;4.7;23.1;30.2;4.7
"2018-02-02T17:49:30+01:00";23.1;30.2;4.7;21.1;31.2;4.7
"2018-02-02T17:50:30+01:00";23.1;30.2;4.7;22.1;32.2;14.7
"2018-02-02T17:51:30+01:00";23.1;30.4;4.8;21.1;33.2;4.7
"2018-02-02T17:52:31+01:00";23.1;31.8;5.4;22.1;34.2;4.7
"2018-02-02T17:53:30+01:00";25.2;28.2;5.5;25.1;35.2;5.7
"2018-02-02T17:54:30+01:00";26.7;25.8;5.5;26.1;36.2;4.7
"2018-02-02T17:55:30+01:00";27.6;29.1;8.0;23.1;37.2;4.7
"2018-02-02T17:56:30+01:00";28.2;24.2;5.9;22.1;38.2;6.7
"2018-02-02T17:57:31+01:00";28.5;23.2;5.5;24.1;39.2;4.7
"2018-02-02T17:58:30+01:00";28.8;22.6;5.4;25.1;31.2;3.7
"2018-02-02T17:59:30+01:00";28.8;21.7;4.8;27.1;32.2;5.7
"2018-02-02T18:00:30+01:00";29.1;21.9;5.2;22.1;35.2;6.7
"2018-02-02T18:01:30+01:00";29.7;21.9;5.7;21.1;36.2;3.7
"2018-02-02T18:02:30+01:00";29.7;21.1;5.1;21.1;37.2;2.7
"2018-02-02T18:03:46+01:00";29.7;21.1;5.1;21.1;38.2;6.7
"2018-02-02T18:04:46+01:00";29.7;21.0;5.1;21.1;39.2;7.7
"2018-02-02T18:05:46+01:00";29.6;21.1;5.1;21.1;32.2;4.7
"2018-02-02T18:06:50+01:00";29.1;21.9;5.2;21.1;33.2;4.7
"2018-02-02T18:07:50+01:00";27.8;21.3;3.7;21.1;34.2;4.7
"2018-02-02T18:08:50+01:00";26.8;23.2;4.1;22.1;35.2;4.7
"2018-02-02T18:09:50+01:00";25.9;24.3;4.0;22.1;36.2;4.7
